airline,dep_airport,arr_airport,aircraft_type,month,day_of_week,dep_hour,weather_severity,wind_speed,visibility,congestion,distance,prev_delay,delay_minutes,is_delayed
AA,ATL,CLT,A319,3,0,5,2,24,7.4,7,2201,85,18,1
B6,PHX,ATL,E175,1,5,19,3,0,2.5,3,361,4,9,0
UA,JFK,DTW,A320,4,3,13,4,21,8.8,5,2730,11,9,0
NK,LAS,SFO,A321,5,5,14,2,0,0.9,9,2468,75,16,1
DL,EWR,PHX,A321,1,5,22,8,3,1.3,2,2076,11,16,1
WN,PHX,MIA,777,3,6,18,5,11,8.4,4,1828,64,14,0
AA,SEA,CLT,787,9,5,20,7,45,6.5,1,880,65,12,0
AA,EWR,BOS,787,2,5,14,10,61,1.0,9,1818,36,18,1
DL,ORD,DTW,777,4,1,12,10,32,8.0,1,1281,60,10,0
AS,DFW,PHX,A380,2,6,20,3,41,9.5,9,700,89,11,0
F9,LGA,DFW,A319,3,2,20,6,1,5.6,9,1534,88,18,1
NK,ATL,MIA,A380,12,4,11,5,78,8.6,4,1184,73,21,1
AS,DEN,ATL,A320,5,3,14,7,16,7.0,8,2831,69,8,0
WN,ORD,LAS,737MAX,3,0,17,5,63,0.6,1,2497,40,17,1
F9,BOS,LAS,A320,2,2,13,10,45,7.7,1,1231,85,15,0
AA,PHX,DEN,A320,8,2,18,10,70,4.2,5,663,28,18,1
WN,SEA,EWR,A350,9,0,22,4,54,7.4,4,1236,83,13,0
WN,LAS,PHX,787,10,5,8,10,66,7.9,10,629,30,26,1
B6,MCO,BOS,737,7,2,6,8,25,5.1,2,667,81,13,0
WN,MIA,DTW,A321,9,3,9,3,58,5.1,4,595,15,8,0
NK,SFO,LAS,787,11,4,18,5,71,1.4,9,2383,38,26,1
UA,DFW,SEA,A350,7,4,19,9,53,0.4,8,605,33,24,1
NK,SEA,ATL,737,3,0,18,8,58,1.9,6,1169,66,24,1
AS,BOS,LAS,A380,1,6,16,4,45,4.2,9,2282,14,15,0
AS,SFO,LAS,A380,3,0,6,2,4,5.6,1,2405,17,3,0
WN,MIA,ATL,737MAX,2,0,5,2,31,5.3,3,2993,14,8,0
NK,BOS,CLT,A320,1,6,19,5,34,7.4,4,1494,30,13,0
NK,CLT,MIA,E175,11,4,9,9,23,8.3,8,2504,73,18,1
AS,SEA,ORD,E175,10,3,21,2,31,8.6,3,459,31,2,0
UA,JFK,BOS,A380,11,3,14,5,17,1.5,7,187,4,16,1
AA,JFK,DFW,A350,11,6,22,1,14,10.0,2,335,39,10,0
B6,PHX,MIA,A321,9,2,22,7,50,9.6,4,807,3,4,0
AS,SFO,DEN,A321,4,2,5,7,55,1.3,9,2977,44,14,0
AS,SFO,LAX,777,8,3,5,8,79,6.3,6,337,47,22,1
UA,BOS,LAX,A320,11,1,6,4,7,1.8,4,650,3,13,0
UA,PHX,MCO,A320,11,6,6,7,56,2.4,9,2422,74,20,1
UA,BOS,ORD,E175,11,3,6,3,42,8.6,6,1247,84,14,0
NK,DTW,MCO,787,10,0,12,10,33,9.7,4,1068,39,23,1
DL,SEA,ORD,737,11,5,20,4,78,7.2,9,2074,79,21,1
WN,SFO,DEN,E175,5,6,18,3,26,2.7,2,2851,54,13,0
B6,SFO,LAX,737,6,3,5,1,37,0.4,4,337,9,7,0
F9,MSP,LGA,A320,6,2,20,6,66,9.2,5,1721,63,19,1
AA,SEA,DTW,777,4,3,7,2,7,2.0,5,601,3,4,0
F9,CLT,DEN,A320,11,4,12,1,3,7.5,6,2661,59,11,0
WN,DFW,LGA,737MAX,1,0,16,5,69,6.2,1,727,48,13,0
B6,JFK,ORD,777,2,5,22,3,79,3.1,5,740,19,9,0
WN,EWR,SFO,737,2,1,5,10,31,3.4,3,999,86,17,1
DL,DEN,MSP,A319,8,1,11,6,21,9.8,4,769,1,0,0
AA,ATL,DFW,737MAX,10,5,10,8,5,9.0,9,730,14,11,0
AS,DFW,BOS,A350,6,1,17,3,66,1.9,4,388,60,20,1
WN,SEA,JFK,A321,2,5,22,7,72,6.5,3,476,6,11,0
F9,LAS,EWR,A320,12,0,17,6,65,4.1,10,1422,58,18,1
NK,LGA,DFW,A350,1,4,5,6,9,5.1,7,829,70,13,0
DL,SFO,LAX,737,10,1,14,3,6,6.0,7,337,52,10,0
WN,DFW,DEN,777,3,5,20,6,6,1.9,2,641,39,11,0
AS,MIA,DTW,E175,5,1,18,2,71,0.9,7,2696,58,16,1
AA,BOS,MCO,A320,10,6,10,7,62,9.4,2,2550,34,15,0
DL,SFO,LGA,737MAX,11,3,11,6,77,8.5,4,553,14,19,1
UA,SFO,ORD,E175,10,1,9,10,8,6.8,3,2449,47,11,0
AS,SFO,BOS,A320,11,4,18,6,45,8.3,9,1350,85,20,1
UA,CLT,SEA,737MAX,8,4,9,4,11,4.0,10,1495,58,14,0
F9,DEN,EWR,A380,9,4,7,8,73,0.4,3,2439,17,25,1
F9,DFW,LAS,A350,3,2,21,9,78,3.8,6,1955,63,20,1
NK,SEA,CLT,737,4,2,6,5,57,4.0,8,2850,0,15,0
AS,MIA,DEN,A380,12,1,7,4,57,8.6,7,1550,41,16,1
DL,EWR,ATL,A321,4,1,11,3,76,6.9,2,453,55,6,0
AS,MCO,LGA,E175,3,1,12,5,57,7.8,3,2441,19,5,0
UA,JFK,LAS,E175,2,2,11,3,0,7.9,1,1425,72,6,0
DL,MIA,CLT,A319,2,3,9,9,48,0.6,3,2366,52,21,1
WN,LAX,DEN,A320,4,3,22,3,7,6.9,1,862,16,7,0
NK,EWR,LAX,787,1,2,12,9,56,7.6,8,2135,46,22,1
WN,EWR,MCO,A319,10,3,21,9,72,2.7,3,1404,49,16,1
DL,SFO,MCO,737,8,1,12,9,19,8.0,1,409,87,14,0
AS,PHX,LGA,E175,4,5,5,1,56,2.6,7,577,50,12,0
AA,LAS,CLT,A320,10,1,19,5,18,3.3,3,1022,15,7,0
UA,DFW,LAS,787,8,6,20,5,19,3.9,7,2892,14,8,0
UA,MIA,DFW,787,9,2,15,5,40,9.2,7,1942,26,10,0
F9,SFO,MCO,A321,12,4,12,7,50,7.0,8,989,70,22,1
UA,ATL,MIA,E175,9,6,7,4,68,5.5,5,2856,59,19,1
WN,EWR,MSP,737,7,0,22,3,75,7.8,8,2263,28,24,1
UA,PHX,JFK,737MAX,4,5,8,2,11,4.2,5,2359,33,5,0
AA,LAX,PHX,777,7,0,10,5,79,2.9,8,1994,45,15,0
WN,DEN,DFW,A321,1,3,12,9,58,5.0,9,641,11,16,1
NK,CLT,DFW,737MAX,10,0,17,1,40,4.3,6,931,79,13,0
AS,CLT,MSP,A350,2,5,18,5,26,2.1,4,1410,73,14,0
NK,DTW,LGA,A320,7,2,12,8,53,8.8,6,1265,51,20,1
AS,MCO,LAX,A319,1,0,17,8,47,1.9,7,2463,75,20,1
F9,ORD,LAX,A320,6,5,19,10,72,9.0,1,933,64,24,1
NK,MIA,PHX,A321,11,1,18,2,45,7.9,3,839,17,14,0
AS,MSP,EWR,A321,6,4,6,3,6,4.3,4,598,83,7,0
NK,LGA,SFO,777,11,2,18,6,17,4.8,5,2063,75,14,0
UA,LGA,JFK,787,9,2,21,9,34,2.6,2,1145,7,9,0
WN,ORD,MSP,E175,2,5,16,1,70,5.8,4,1949,67,19,1
WN,DEN,SEA,A320,7,2,19,7,38,7.5,7,1024,9,17,1
NK,PHX,JFK,A380,6,6,19,3,27,1.4,9,2106,77,22,1
B6,ATL,ORD,A350,9,4,16,4,62,1.6,2,606,19,15,0
B6,CLT,BOS,E175,4,3,19,2,0,6.9,2,2164,49,15,0
DL,DFW,MCO,A320,10,5,11,5,77,2.7,2,2486,44,12,0
UA,SEA,CLT,737,6,0,21,2,13,6.7,6,1124,84,3,0
AA,DEN,BOS,A319,9,6,8,1,56,4.3,6,2516,33,8,0
F9,ATL,ORD,A321,11,4,17,10,41,8.0,1,606,12,27,1
AA,EWR,ATL,A320,9,5,10,5,41,9.2,4,1565,21,14,0
NK,JFK,SEA,787,9,3,8,8,20,6.8,1,2807,61,12,0
UA,CLT,SEA,A380,5,3,9,9,40,6.2,8,477,85,20,1
F9,CLT,JFK,E175,6,5,14,5,1,8.8,7,1725,81,10,0
AA,SEA,ATL,A320,2,5,18,9,66,2.9,8,465,78,27,1
DL,LAX,SFO,E175,5,1,12,3,23,8.5,4,337,13,17,1
WN,EWR,ATL,777,11,5,16,1,19,4.6,9,635,72,9,0
UA,LAX,ORD,777,5,6,5,8,38,3.4,5,1625,16,18,1
UA,EWR,DTW,A380,11,6,9,3,4,4.6,2,440,88,13,0
B6,LAS,DFW,A319,12,4,11,3,26,2.9,8,2255,5,5,0
NK,LAS,MSP,777,11,1,16,3,38,4.3,3,1282,16,14,0
AA,EWR,ORD,737MAX,5,4,5,6,59,9.3,4,1038,64,20,1
AA,JFK,ATL,737MAX,2,3,14,7,67,6.4,9,2995,14,15,0
AS,PHX,DEN,E175,7,4,6,10,76,6.1,5,936,52,22,1
F9,SEA,MCO,A319,2,5,6,2,76,5.7,6,774,87,19,1
WN,DFW,SFO,737MAX,5,3,10,1,61,6.3,2,1295,30,13,0
AS,SEA,LAS,E175,6,4,20,2,55,8.2,7,698,24,13,0
UA,DTW,MCO,787,8,2,14,8,62,9.4,9,2237,49,18,1
B6,LAX,DEN,A350,6,6,11,7,12,8.9,3,862,8,5,0
WN,MSP,SFO,A321,3,3,10,7,29,5.6,10,2921,53,11,0
F9,LGA,DTW,A380,11,0,10,4,9,4.3,1,1623,58,11,0
WN,EWR,DTW,A320,10,3,15,2,43,4.3,7,2336,23,20,1
B6,JFK,SEA,A319,5,4,15,8,50,4.2,8,2007,52,20,1
UA,LGA,JFK,777,4,2,14,8,2,6.4,7,341,18,9,0
F9,MSP,EWR,737,9,3,13,10,40,2.6,8,1355,32,16,1
AA,LAX,ORD,737,5,6,8,5,35,9.9,5,2783,66,12,0
F9,JFK,CLT,A320,5,2,10,3,60,1.7,10,759,32,13,0
DL,DEN,JFK,A380,6,1,16,7,51,6.7,1,2642,4,16,1
B6,MIA,DFW,737,1,3,12,10,6,4.9,3,789,6,12,0
DL,LAS,DEN,A319,11,4,14,7,11,6.5,5,2470,6,2,0
DL,DTW,DEN,787,1,1,17,1,56,5.8,3,1867,9,3,0
AA,DTW,CLT,787,7,6,12,5,22,8.6,6,1320,55,21,1
B6,SFO,PHX,777,7,5,21,7,49,2.2,7,1266,59,24,1
UA,MIA,SFO,737MAX,3,6,12,4,56,4.3,5,580,4,18,1
AA,LAS,DEN,A321,4,2,5,3,38,0.5,9,1149,35,9,0
AA,MCO,CLT,737MAX,6,1,14,10,6,5.1,10,581,78,15,0
B6,ORD,MCO,737MAX,11,2,12,8,4,7.7,2,2998,44,22,1
AA,CLT,JFK,A320,10,5,7,7,48,8.4,6,1375,11,18,1
AA,DFW,SEA,A380,2,3,15,1,43,9.0,10,2513,62,17,1
AA,LGA,PHX,A321,9,1,16,2,7,7.9,2,873,34,5,0
AA,ATL,LGA,787,5,6,16,2,42,9.2,9,2211,17,13,0
UA,DFW,MIA,A321,1,1,16,8,7,2.0,5,1003,70,9,0
AA,ORD,EWR,E175,8,3,7,9,75,4.8,10,1843,44,18,1
NK,LAS,SEA,E175,4,1,10,1,36,7.9,10,2546,58,2,0
DL,DTW,CLT,A321,2,3,16,2,61,9.2,5,2592,48,16,1
NK,LAS,EWR,E175,4,0,8,4,15,6.4,8,1407,80,10,0
AA,CLT,BOS,E175,11,5,11,5,31,9.0,3,2627,25,9,0
F9,MSP,JFK,E175,4,4,19,6,31,4.7,9,1739,30,16,1
UA,PHX,DTW,A380,5,0,19,9,14,10.0,9,2076,58,15,0
F9,DTW,EWR,A350,5,2,11,5,20,2.3,5,332,49,2,0
F9,LAS,MSP,E175,6,1,20,6,18,4.9,2,702,66,11,0
AS,SFO,MSP,787,11,3,16,10,41,8.8,3,1313,42,13,0
AS,LAX,LAS,A350,3,6,8,10,37,8.7,8,1142,49,18,1
B6,ATL,LGA,777,6,6,14,10,44,5.4,1,890,42,22,1
WN,CLT,MCO,A319,4,1,17,1,21,5.9,7,1820,14,16,1
AA,JFK,MSP,A380,6,1,12,6,10,4.8,7,718,43,19,1
AA,SFO,LAS,A319,3,0,14,6,11,4.6,9,1677,62,18,1
AS,LGA,DEN,A319,11,2,12,1,46,6.0,1,2500,54,14,0
NK,LGA,LAX,737MAX,2,6,10,7,10,4.1,3,940,34,5,0
UA,PHX,BOS,777,12,3,7,2,24,5.8,2,549,3,5,0
AS,PHX,MIA,777,4,5,9,3,4,4.2,7,368,44,11,0
AA,LAX,CLT,787,9,1,18,1,11,2.3,4,2332,89,16,1
NK,PHX,DEN,777,8,3,6,9,69,4.0,8,1445,50,24,1
B6,CLT,DTW,A320,7,0,6,1,9,5.9,5,1836,89,15,0
AA,MSP,PHX,A321,7,6,18,6,17,0.3,1,428,74,22,1
B6,DEN,EWR,777,6,0,22,9,36,9.5,5,1073,27,9,0
DL,MCO,LAS,787,11,2,15,8,7,4.3,4,1805,25,17,1
B6,MIA,EWR,737MAX,8,5,19,9,63,6.3,4,2267,50,26,1
AS,MIA,PHX,787,6,6,14,8,73,5.0,2,2261,38,18,1
NK,PHX,DEN,E175,11,5,7,8,19,5.8,2,1581,12,17,1
F9,LAS,PHX,787,11,1,16,7,17,7.9,6,851,44,21,1
UA,LAS,MIA,A320,2,3,14,10,77,9.7,3,887,35,18,1
AA,ATL,MCO,787,7,4,6,4,50,4.5,1,918,86,12,0
DL,SEA,EWR,737,3,5,13,1,56,6.4,1,1431,10,8,0
WN,DFW,ORD,A321,8,3,8,3,19,3.0,2,2786,25,13,0
NK,BOS,CLT,E175,7,4,6,2,69,3.2,10,1236,84,18,1
B6,LAX,MSP,777,6,2,13,7,16,4.1,1,1101,14,12,0
AS,JFK,MSP,737MAX,8,0,6,2,22,3.0,5,2368,59,11,0
WN,CLT,ATL,787,11,2,7,5,53,1.3,9,2365,41,16,1
WN,LAS,MIA,A319,5,2,19,9,40,4.7,3,529,76,11,0
AA,CLT,PHX,A350,2,4,13,3,79,4.2,3,1586,23,15,0
AA,SEA,BOS,A319,5,2,18,6,32,8.1,2,1062,85,7,0
DL,MCO,LGA,787,12,5,21,2,24,7.9,6,2626,85,9,0
F9,PHX,JFK,E175,5,5,15,3,46,6.3,8,1078,24,9,0
AA,MSP,MCO,A350,7,5,19,10,4,4.7,3,1866,42,17,1
UA,EWR,BOS,A319,1,4,20,6,23,8.2,3,2627,54,12,0
DL,PHX,DTW,A350,10,5,18,8,4,4.5,3,2874,34,12,0
F9,DFW,ORD,A380,5,2,5,2,5,4.6,8,2012,7,4,0
AS,SFO,DFW,E175,12,6,8,7,45,4.6,7,2534,60,18,1
DL,SFO,JFK,777,5,6,17,6,29,8.1,2,1129,28,11,0
AA,PHX,CLT,777,4,2,17,9,27,2.7,7,1053,5,21,1
UA,SEA,JFK,A350,5,4,21,1,71,5.0,7,479,39,11,0
F9,ATL,MIA,A380,12,2,6,2,19,6.3,6,747,42,9,0
NK,DTW,JFK,777,1,4,22,6,54,2.8,10,928,84,26,1
AA,SFO,DFW,A321,12,4,17,2,18,7.2,3,509,48,3,0
F9,SEA,MCO,A380,8,2,9,9,70,5.9,8,2149,76,24,1
AS,SFO,MIA,777,3,3,14,3,37,4.3,4,1305,5,18,1
F9,CLT,ATL,787,5,6,13,4,55,6.7,3,2183,28,9,0
F9,DFW,PHX,A350,3,5,14,6,23,1.6,4,1907,28,10,0
DL,MIA,LAS,A319,10,0,10,5,10,4.6,2,2398,63,5,0
NK,CLT,PHX,777,2,5,15,10,55,1.8,7,907,82,29,1
AS,MSP,LGA,A321,4,3,14,3,58,4.2,7,1899,17,14,0
WN,PHX,LGA,777,2,2,16,8,18,3.5,10,2035,21,20,1
AA,DFW,EWR,777,1,1,18,6,73,9.0,4,876,48,21,1
NK,LAX,SEA,787,10,1,16,7,13,8.8,5,954,28,17,1
WN,LAS,BOS,E175,10,0,16,1,69,3.3,6,1863,30,20,1
AA,JFK,DFW,A319,1,3,21,9,2,5.3,7,2671,66,4,0
F9,EWR,BOS,737MAX,7,4,18,7,1,2.8,2,1455,11,13,0
B6,MIA,DFW,737MAX,12,5,11,2,21,5.5,4,567,47,9,0
DL,LGA,DTW,A321,1,5,14,2,25,6.2,6,2911,84,7,0
F9,SEA,DFW,A320,11,1,6,7,38,0.7,9,1051,75,27,1
NK,DEN,MIA,737MAX,10,2,13,1,44,6.1,10,1441,47,12,0
AS,DFW,PHX,A350,4,1,15,2,38,2.1,1,2946,70,10,0
NK,DFW,MSP,737,2,5,8,5,39,0.8,7,1839,24,10,0
UA,ATL,EWR,A350,5,6,16,7,41,7.0,9,1857,25,16,1
NK,DTW,MCO,A350,7,1,12,7,71,9.1,1,466,7,22,1
AA,MSP,BOS,A321,7,3,5,5,40,6.0,8,1503,38,15,0
F9,MCO,SFO,A319,11,2,13,7,44,9.4,1,1785,6,10,0
UA,DEN,PHX,A321,7,3,21,2,1,2.5,1,1599,9,6,0
NK,SFO,BOS,737MAX,10,6,11,8,1,2.5,3,2175,53,13,0
F9,SEA,CLT,A380,8,6,22,5,71,0.9,8,363,67,30,1
DL,MSP,MIA,A380,5,5,8,1,27,0.3,3,778,76,15,0
AA,LAX,DTW,A321,1,3,12,2,23,9.6,8,1577,68,8,0
AA,ORD,MCO,A350,9,4,15,8,72,7.3,9,2172,2,19,1
B6,CLT,DFW,A321,4,4,7,1,59,4.0,6,355,26,9,0
NK,PHX,SFO,A319,4,5,19,2,24,3.5,5,1372,28,9,0
AS,BOS,SEA,737MAX,12,6,18,8,38,8.6,10,586,70,18,1
DL,JFK,EWR,E175,1,0,21,5,17,4.1,2,2514,78,6,0
WN,ATL,MIA,777,7,5,9,7,72,1.9,2,1735,62,16,1
F9,DEN,MCO,A380,9,2,6,9,63,1.5,6,2827,26,22,1
AS,BOS,LAX,A350,5,1,12,7,40,6.9,1,1517,60,1,0
F9,MCO,ORD,E175,5,1,11,3,76,6.8,9,1639,14,12,0
AS,ORD,MSP,787,4,0,9,7,74,4.2,7,1922,61,23,1
B6,LAX,BOS,A321,3,5,11,6,22,4.2,4,2800,11,8,0
UA,JFK,SEA,A350,9,2,14,5,65,1.7,1,552,14,11,0
B6,DTW,BOS,A321,1,0,10,9,18,8.7,9,2423,44,17,1
NK,ORD,SEA,737,1,6,16,3,21,2.4,6,1432,49,19,1
F9,DEN,PHX,787,3,2,5,3,30,2.6,2,378,79,17,1
AA,ORD,MSP,A319,10,1,5,1,3,5.2,10,767,17,17,1
UA,EWR,CLT,A380,8,5,5,3,23,8.1,4,300,20,3,0
F9,LAS,EWR,A380,1,5,18,8,63,6.7,9,2690,59,26,1
UA,DFW,SFO,737,4,0,17,9,74,4.8,7,2007,67,23,1
F9,JFK,LAX,737,12,4,5,9,30,6.1,6,2475,8,16,1
AA,SFO,JFK,A320,3,1,10,7,58,9.7,10,1603,55,9,0
AA,DEN,BOS,737MAX,2,1,21,2,27,9.0,10,1027,37,12,0
DL,DEN,LAX,737,9,6,17,5,76,7.5,8,862,62,23,1
AS,LAX,CLT,737,5,2,20,10,5,2.1,4,875,84,21,1
NK,MSP,DTW,737MAX,5,6,17,9,17,6.8,3,401,62,6,0
NK,JFK,DTW,777,3,4,11,7,16,0.3,4,2853,4,15,0
B6,ORD,MIA,787,7,1,18,8,58,3.6,10,2165,48,21,1
F9,BOS,ATL,A350,1,1,9,6,47,6.8,9,1873,33,10,0
DL,PHX,SEA,A350,1,1,12,10,20,2.4,6,1876,34,9,0
F9,DTW,BOS,A321,2,6,11,10,78,6.3,3,2892,24,21,1
WN,DTW,EWR,737MAX,1,6,14,5,35,5.3,8,1918,88,10,0
DL,ATL,LAS,A320,8,5,11,5,75,0.9,4,2387,33,24,1
UA,LAX,LAS,A320,5,5,5,6,37,8.2,10,857,26,7,0
B6,BOS,LAX,A321,10,2,22,9,32,2.0,2,1608,29,15,0
NK,LAX,MCO,777,9,1,12,6,19,2.8,10,1579,47,17,1
AS,PHX,DTW,787,1,3,18,4,1,5.0,3,2957,8,1,0
B6,PHX,ORD,A319,8,0,11,10,21,0.8,4,1302,41,11,0
DL,LAS,SEA,737,6,0,7,10,59,8.6,7,1194,44,10,0
NK,ORD,MCO,E175,1,0,20,8,54,7.3,4,474,47,14,0
DL,DFW,MCO,777,2,6,5,6,70,3.1,4,1132,1,12,0
B6,DTW,MCO,A319,11,1,7,9,36,9.1,6,1261,69,15,0
UA,PHX,DEN,787,4,1,20,4,66,5.8,3,2664,65,19,1
AA,LGA,LAX,737,2,1,22,6,10,6.3,5,966,41,7,0
WN,PHX,JFK,777,11,6,9,7,7,3.6,3,865,8,14,0
AS,CLT,ORD,A319,1,1,17,7,69,4.6,7,977,26,19,1
UA,DEN,EWR,737MAX,8,1,18,4,59,1.3,3,338,44,24,1
AS,LGA,SFO,A350,2,2,21,3,64,6.2,3,971,42,12,0
WN,DTW,LAX,A380,1,4,10,9,9,9.2,1,1326,52,16,1
NK,BOS,DTW,A350,1,3,11,3,10,7.5,6,360,89,13,0
UA,BOS,DTW,737,1,0,17,3,43,3.9,6,2527,65,20,1
F9,ORD,LGA,A350,12,6,7,7,29,5.6,3,1634,14,14,0
DL,SFO,LAX,737MAX,2,2,22,3,39,1.3,4,337,78,12,0
UA,DEN,BOS,777,12,6,22,9,59,1.1,5,2273,4,19,1
AA,LAS,DTW,737,6,4,13,7,62,0.4,4,1017,11,18,1
NK,MCO,MIA,A320,4,3,8,1,15,5.4,8,2789,74,7,0
NK,JFK,DEN,A350,6,0,6,5,60,4.1,5,1518,55,22,1
AA,SEA,ATL,787,6,1,8,3,13,9.5,3,2610,16,6,0
WN,PHX,ORD,777,6,2,18,8,27,5.1,6,365,62,11,0
NK,ATL,LAX,A319,6,6,19,9,67,2.2,10,2904,57,24,1
NK,SFO,DEN,E175,4,5,15,10,40,5.0,5,1914,84,17,1
B6,LAS,DFW,A380,9,0,7,2,28,4.1,1,2003,77,9,0
F9,CLT,JFK,737,8,3,5,1,26,7.4,8,2647,87,7,0
F9,PHX,CLT,E175,6,3,21,5,40,8.6,10,2654,37,17,1
DL,BOS,LGA,A319,5,6,13,3,4,2.6,6,1914,81,13,0
UA,CLT,PHX,A319,11,0,12,7,74,9.3,4,584,57,13,0
AA,ATL,LAS,A320,2,4,14,9,54,9.7,5,1233,31,20,1
WN,LAX,EWR,777,7,2,8,9,40,9.2,3,2622,30,18,1
WN,EWR,LAX,737,1,2,5,9,70,3.6,6,1580,78,24,1
NK,SEA,EWR,A380,7,3,5,9,31,1.3,8,1888,6,21,1
UA,DEN,SFO,787,5,1,5,3,71,5.5,8,1144,78,15,0
F9,DFW,SFO,777,5,1,6,3,43,3.2,1,2511,63,14,0
NK,LGA,DFW,A320,9,2,13,7,53,6.9,1,2964,58,21,1
NK,BOS,DTW,777,12,3,14,3,54,2.5,9,1854,38,20,1
AA,DTW,SEA,A380,7,6,17,8,12,5.0,1,1215,68,17,1
WN,MSP,MIA,A319,3,1,7,5,18,4.3,9,1904,80,12,0
DL,LGA,ORD,787,10,1,5,6,10,0.6,7,2686,7,19,1
AS,EWR,JFK,737MAX,3,6,11,5,3,6.8,5,1694,27,14,0
AS,DFW,DTW,A321,10,2,16,9,67,8.7,8,2510,27,20,1
NK,SEA,BOS,A350,5,0,5,2,9,2.0,1,310,40,3,0
DL,ORD,MSP,A380,11,3,5,2,46,6.3,1,2461,56,5,0
AA,SEA,PHX,E175,11,4,14,10,10,2.5,3,1459,30,14,0
WN,MCO,CLT,A380,8,6,11,7,78,4.9,3,476,14,14,0
F9,BOS,MIA,E175,8,4,6,6,9,4.4,5,2911,29,13,0
F9,SEA,DEN,A319,6,2,13,9,71,4.7,2,1024,76,24,1
DL,MSP,LGA,A380,7,1,6,2,15,3.3,10,1062,5,11,0
AA,PHX,ATL,A320,10,2,10,10,10,3.1,7,1793,5,14,0
NK,MSP,ORD,A319,2,4,15,8,31,0.7,2,1557,81,17,1
AS,DFW,SEA,A319,8,4,7,1,70,6.4,6,2331,38,15,0
NK,CLT,EWR,737MAX,10,3,16,7,57,0.8,2,845,71,18,1
UA,ATL,LAS,737,12,6,9,4,61,6.6,6,657,2,13,0
AS,DFW,SEA,A380,10,1,5,10,34,6.4,9,1501,38,18,1
F9,BOS,SFO,E175,7,0,9,7,38,0.3,7,1295,21,24,1
AS,EWR,JFK,A319,8,6,10,6,32,6.4,3,953,8,15,0
B6,ORD,MCO,737MAX,11,3,17,6,30,3.9,10,2578,58,13,0
WN,ORD,MSP,A380,9,2,8,5,58,2.6,2,2138,52,17,1
B6,DEN,MIA,A320,3,3,8,6,22,7.3,7,524,57,17,1
NK,MSP,ORD,787,5,3,9,9,49,7.1,10,2947,23,18,1
AA,LAX,DTW,737,12,0,8,9,62,7.0,4,492,77,18,1
F9,MSP,EWR,737MAX,4,1,18,8,32,6.1,8,2759,29,16,1
B6,LAX,JFK,737MAX,12,3,17,8,64,4.0,3,2475,87,29,1
DL,SFO,MIA,737MAX,3,1,12,5,15,9.2,2,1611,61,14,0
NK,BOS,DTW,A319,5,4,17,4,21,9.1,8,1324,12,7,0
F9,LAS,SEA,A350,3,4,20,4,61,1.4,9,843,57,18,1
AA,DEN,LGA,737MAX,4,0,11,9,20,1.0,2,420,57,6,0
DL,ATL,MSP,737,1,6,12,5,36,6.9,6,1164,27,9,0
F9,JFK,SEA,A319,3,6,17,1,24,9.7,7,2955,65,7,0
NK,MIA,ORD,787,6,6,16,4,47,7.0,10,1281,67,19,1
NK,ORD,MSP,737,12,1,9,8,14,6.9,7,2972,19,16,1
UA,BOS,ATL,E175,1,3,21,2,56,1.3,8,1126,78,20,1
WN,JFK,MIA,787,9,1,16,5,60,9.5,8,1090,49,18,1
DL,BOS,LGA,A321,10,1,9,6,10,6.2,4,2442,24,13,0
B6,EWR,MSP,A319,2,1,21,9,32,8.7,5,1592,16,13,0
AA,LGA,MIA,A380,11,5,22,10,78,9.6,3,2480,3,23,1
AA,DTW,LGA,737MAX,4,1,15,2,35,6.9,8,1021,28,7,0
AS,MSP,LGA,787,11,0,21,10,43,0.8,5,474,86,18,1
AA,DEN,BOS,A350,6,0,12,7,68,4.9,5,2648,53,3,0
F9,CLT,DEN,A380,10,2,15,8,43,3.4,7,1649,68,22,1
UA,CLT,PHX,737MAX,4,5,11,3,55,4.3,1,524,37,15,0
B6,DTW,LAS,A350,5,3,9,6,68,5.0,9,511,64,23,1
AA,ORD,ATL,A350,10,3,12,2,30,4.9,9,606,17,7,0
NK,BOS,LAS,737,9,1,9,1,36,4.0,9,1789,35,4,0
AS,BOS,ATL,A319,5,6,11,10,78,4.6,7,926,11,23,1
B6,DFW,MSP,737MAX,4,0,13,2,49,8.5,2,2936,14,10,0
AA,LAX,ORD,A321,5,6,21,9,47,1.0,5,1418,34,17,1
DL,LAS,MSP,A320,8,3,15,2,25,0.9,1,1355,19,12,0
B6,LAS,EWR,A320,10,3,5,1,24,4.9,7,1336,52,5,0
AA,ATL,DTW,777,10,5,14,1,39,2.7,5,2562,18,15,0
F9,LAX,EWR,A319,5,3,18,10,43,1.0,10,2304,79,25,1
AS,LAS,DTW,A380,2,1,6,5,7,6.9,3,411,41,10,0
DL,LAX,LGA,737,8,1,15,6,53,2.4,5,2999,15,16,1
NK,JFK,SFO,737MAX,2,2,20,10,17,2.5,9,2349,54,17,1
B6,MSP,DFW,737MAX,5,0,9,8,24,9.8,10,2261,30,13,0
NK,SFO,MCO,A321,12,2,20,5,38,6.3,8,1973,1,13,0
NK,SFO,LAX,777,8,1,21,1,69,0.6,3,337,11,17,1
NK,DFW,SFO,777,4,0,14,10,15,1.9,8,2932,24,9,0
WN,ORD,LGA,A380,3,5,18,6,78,8.3,8,1715,2,20,1
